Name with Owner,Created Timestamp,Updated Timestamp,Stars Count,Language,Rating
apache/spark,2014-02-25 08:00:08 UTC,2018-12-22 12:25:54 UTC,19976,Scala,4.15
Microsoft/TypeScript,2014-06-17 15:28:39 UTC,2018-12-22 07:26:11 UTC,42727,TypeScript,4.16
almasaeed2010/AdminLTE,2013-12-25 02:52:40 UTC,2018-12-22 09:02:17 UTC,26157,HTML,4.16
thomaspark/bootswatch,2012-02-07 04:31:56 UTC,2018-12-18 21:07:19 UTC,10855,JavaScript,4.17
IanLunn/Hover,2014-01-02 14:27:35 UTC,2018-12-09 08:19:32 UTC,20427,CSS,4.17
Unknwon/the-way-to-go_ZH_CN,2013-03-24 17:18:38 UTC,2018-11-22 13:37:32 UTC,10432,Go,4.18
aosabook/500lines,2013-11-04 02:02:53 UTC,2018-12-06 06:22:24 UTC,20101,JavaScript,4.18
jessesquires/JSQMessagesViewController,2013-02-17 21:40:44 UTC,2018-05-04 05:42:50 UTC,11042,Objective-C,4.19
postcss/postcss,2013-09-24 23:06:48 UTC,2018-12-17 02:13:18 UTC,19858,JavaScript,4.19
Dogfalo/materialize,2014-09-12 19:35:38 UTC,2018-11-19 21:08:22 UTC,34430,JavaScript,4.2
sahat/hackathon-starter,2013-11-13 17:24:12 UTC,2018-12-09 18:40:37 UTC,25238,CSS,4.2
Modernizr/Modernizr,2009-09-25 20:13:23 UTC,2018-12-21 11:26:58 UTC,23255,JavaScript,4.21
rapid7/metasploit-framework,2011-08-30 06:13:20 UTC,2018-12-21 11:59:43 UTC,14490,Ruby,4.21
socketio/socket.io,2010-03-11 18:24:48 UTC,2018-12-21 07:29:12 UTC,44659,JavaScript,4.22
dmlc/xgboost,2014-02-06 17:28:03 UTC,2018-12-08 15:07:40 UTC,14310,C++,4.22
electron/electron,2013-04-12 01:47:36 UTC,2018-12-20 21:10:56 UTC,67852,C++,4.23
facebook/fresco,2015-03-02 09:58:04 UTC,2018-11-15 15:12:47 UTC,15116,Java,4.23
facebookarchive/AsyncDisplayKit,2014-06-27 05:29:02 UTC,2018-05-05 07:41:10 UTC,12559,Objective-C++,4.24
jashkenas/coffeescript,2009-12-18 01:39:53 UTC,2018-09-20 06:53:56 UTC,14868,CoffeeScript,4.24
ethereum/wiki,2014-02-14 23:05:17 UTC,2018-11-29 09:00:56 UTC,11708,,4.25
FezVrasta/bootstrap-material-design,2014-08-18 11:54:00 UTC,2018-12-03 12:41:09 UTC,19656,CSS,4.25
zurb/foundation-sites,2011-10-13 23:05:42 UTC,2018-11-15 23:18:38 UTC,27795,HTML,4.26
laravel/framework,2013-01-10 21:27:28 UTC,2018-12-18 14:29:05 UTC,15278,PHP,4.27
sindresorhus/awesome-nodejs,2014-07-11 13:35:34 UTC,2018-11-26 15:47:59 UTC,27200,,4.27
github/hubot-scripts,2011-09-08 05:39:54 UTC,2018-04-30 15:25:44 UTC,3488,CoffeeScript,4.28
webpack/webpack,2012-03-10 10:08:14 UTC,2018-12-22 13:07:20 UTC,45971,JavaScript,4.28
elixir-lang/elixir,2011-01-09 08:43:57 UTC,2018-12-22 17:24:05 UTC,14404,Elixir,4.29
caouecs/Laravel-lang,2013-05-29 22:56:40 UTC,2018-12-04 03:44:44 UTC,3244,PHP,4.3
briannesbitt/Carbon,2012-09-08 02:56:20 UTC,2018-12-06 02:26:08 UTC,11043,PHP,4.31
WordPress/WordPress,2011-12-01 07:05:17 UTC,2018-12-22 05:58:17 UTC,11813,PHP,4.31
mui-org/material-ui,2014-08-18 19:11:54 UTC,2018-12-21 23:24:59 UTC,42903,JavaScript,4.32
blueimp/jQuery-File-Upload,2010-12-01 15:35:32 UTC,2018-11-29 03:38:02 UTC,29479,JavaScript,4.33
ReactTraining/react-router,2014-05-16 22:22:51 UTC,2018-11-26 22:45:15 UTC,33682,JavaScript,4.33
SDWebImage/SDWebImage,2009-09-21 17:39:19 UTC,2018-12-10 17:32:24 UTC,20827,Objective-C,4.34
jashkenas/underscore,2009-10-25 18:31:06 UTC,2018-12-03 16:21:44 UTC,23966,JavaScript,4.34
expressjs/express,2009-06-26 18:56:01 UTC,2018-12-22 21:17:43 UTC,41606,JavaScript,4.35
bulutyazilim/awesome-datascience,2014-07-05 07:07:43 UTC,2018-12-20 21:52:34 UTC,9075,,4.35
